UbiReg,UbiPro,Reg,Pro,UbiDis,Dis,idh,vidaEsp,EducSec,EducAnhos,IngresoFam
10000,10100,AMAZONAS,Chachapoyas,10101,Chachapoyas ,0.5467,73.39,62.72,9.97,866.6
10000,10100,AMAZONAS,Chachapoyas,10102,Asuncion    ,0.1683,73.28,0.75,6.08,342
10000,10100,AMAZONAS,Chachapoyas,10103,Balsas   ,0.2634,71.97,14.48,5.28,340.3
10000,10100,AMAZONAS,Chachapoyas,10104,Cheto  ,0.3274,77.84,44.61,4.96,346.8
10000,10100,AMAZONAS,Chachapoyas,10105,Chiliquin ,0.2115,76.25,8.03,4.44,258.6
10000,10100,AMAZONAS,Chachapoyas,10106,Chuquibamba  ,0.2319,70.88,10.35,6.15,260.8
10000,10100,AMAZONAS,Chachapoyas,10107,Granada    ,0.3269,71.32,40.13,5.28,390.8
10000,10100,AMAZONAS,Chachapoyas,10108,Huancas  ,0.2954,74.71,25.77,5.74,321.7
10000,10100,AMAZONAS,Chachapoyas,10109,La Jalca ,0.2278,75.8,18.81,5.28,195.2
10000,10100,AMAZONAS,Chachapoyas,10110,Leimebamba ,0.2793,72,11.49,6.41,390
10000,10100,AMAZONAS,Chachapoyas,10111,Levanto ,0.2123,77.74,6.22,4.68,274.1
10000,10100,AMAZONAS,Chachapoyas,10112,Magdalena  ,0.4013,73.44,36.74,6.27,615.2
10000,10100,AMAZONAS,Chachapoyas,10113,Mariscal Castilla ,0.2626,70.64,11.09,5.93,361.6
10000,10100,AMAZONAS,Chachapoyas,10114,Molinopampa ,0.3068,72.73,21.44,5.69,404.1
10000,10100,AMAZONAS,Chachapoyas,10115,Montevideo  ,0.3421,72.6,20.82,7.03,484.2
10000,10100,AMAZONAS,Chachapoyas,10116,Olleros  ,0.2574,76.45,20.27,5.24,256.4
10000,10100,AMAZONAS,Chachapoyas,10117,Quinjalca  ,0.222,77.27,15.95,4.47,213.9
10000,10100,AMAZONAS,Chachapoyas,10118,San Francisco De Daguas ,0.3943,73.56,33.75,6.72,580.7
10000,10100,AMAZONAS,Chachapoyas,10119,San Isidro De Maino ,0.3051,71.57,20.63,5.27,436.6
10000,10100,AMAZONAS,Chachapoyas,10120,Soloco  ,0.2914,76.33,28.72,5.03,313.8
10000,10100,AMAZONAS,Chachapoyas,10121,Sonche  ,0.1795,77.46,0.65,5.27,444.9
10000,10200,AMAZONAS,Bagua,10201,Bagua,0.4793,74.71,59.31,8.33,662
10000,10200,AMAZONAS,Bagua,10202,Aramango  ,0.3115,76.75,21.63,5.38,404.6
10000,10200,AMAZONAS,Bagua,10203,Copallin  ,0.3663,77.97,38.66,5.77,452.5
10000,10200,AMAZONAS,Bagua,10204,El Parco ,0.4081,77.42,44.14,6.24,551.4
10000,10200,AMAZONAS,Bagua,10205,Imaza  ,0.2357,77.44,15.98,5.78,209.4
10000,10200,AMAZONAS,Bagua,10206,La Peca  ,0.4872,74.91,59.22,8.33,691.3
10000,10300,AMAZONAS,Bongara,10301,Jumbilla   ,0.3448,71.42,29.76,7.8,403.3
10000,10300,AMAZONAS,Bongara,10302,Chisquilla ,0.3432,72.97,50.05,5.76,368.6
10000,10300,AMAZONAS,Bongara,10303,Churuja  ,0.3613,65.62,29.2,6.75,573.3
10000,10300,AMAZONAS,Bongara,10304,Corosha  ,0.2462,77.34,12.66,4.83,291.4
10000,10300,AMAZONAS,Bongara,10305,Cuispes  ,0.1604,69.16,0.67,5.04,387.1
10000,10300,AMAZONAS,Bongara,10306,Florida  ,0.3203,74.29,26.48,5.96,389.1
10000,10300,AMAZONAS,Bongara,10307,Jazan  ,0.3966,73.48,25.9,7.82,609.3
10000,10300,AMAZONAS,Bongara,10308,Recta  ,0.2828,73.55,17.01,5.48,363.4
10000,10300,AMAZONAS,Bongara,10309,San Carlos ,0.1678,71.85,1.16,5.09,321.9
10000,10300,AMAZONAS,Bongara,10310,Shipasbamba     ,0.3281,74.44,30.01,5.71,402.2
10000,10300,AMAZONAS,Bongara,10311,Valera                                  ,0.254,69.42,14.65,5.34,320.4
10000,10300,AMAZONAS,Bongara,10312,Yambrasbamba   ,0.3211,74.54,24.74,5.56,421.4
10000,10400,AMAZONAS,Condorcanqui,10401,Nieva                                   ,0.2052,70.09,7.88,5.78,226
10000,10400,AMAZONAS,Condorcanqui,10402,El Cenepa    ,0.1488,74.44,5.38,5.18,122.1
10000,10400,AMAZONAS,Condorcanqui,10403,Rio Santiago     ,0.1659,68.53,9.19,5.47,135.7
10000,10500,AMAZONAS,Luya,10501,Lamud             ,0.4135,73.18,42.7,7.2,573.4
10000,10500,AMAZONAS,Luya,10502,Camporredondo   ,0.3264,73.02,32.13,6,382.3
10000,10500,AMAZONAS,Luya,10503,Cocabamba    ,0.1808,72.91,4.74,4.59,224.1
10000,10500,AMAZONAS,Luya,10504,Colcamar       ,0.2465,75.68,36.39,4.95,188.8
